# QBD Vacuum Parameter Sweep Results (2-Parameter Model)
# Timestamp: 20251114-083509
# Anchored ALPHA: 0.17 MeV
# Anchored T_VACUUM: 0.693 MeV
# Nodes (approx): 100
# Runs per point: 100
# Max Steps: 1500

mu,lambda,Runs_Success,Stall_Rate_pct,Mean_N3,Std_Dev_N3,Median_N3,Mean_Rho3,Std_Dev_Rho3,Median_Rho3,Skew_Rho3
0.5500000000000002,0.8,100,0.0,78.1,16.018426889054993,85.0,0.7809999999999999,0.16018426889054993,0.85,-2.041628878090389
0.5500000000000002,1.1,100,0.0,54.87,27.99844817128264,56.0,0.5487000000000001,0.27998448171282636,0.56,-0.12341983141481842
0.5500000000000002,1.4000000000000001,100,0.0,35.94,27.180073583417688,25.5,0.3593999999999999,0.2718007358341769,0.255,0.9380940842914192
0.5500000000000002,1.7000000000000002,100,0.0,20.96,21.550832930538903,15.0,0.2096,0.21550832930538905,0.15,2.129469426809773
0.5500000000000002,2.0,100,0.0,22.86,23.185348822047082,14.0,0.2286,0.23185348822047083,0.14,1.8310451821241207
0.5500000000000002,2.3000000000000003,100,0.0,10.36,13.462184072430446,9.0,0.10360000000000001,0.13462184072430447,0.09,3.8214725874300086
0.5500000000000002,2.6000000000000005,100,0.0,8.77,7.895384727801426,8.0,0.08770000000000001,0.07895384727801427,0.08,0.8858118005006778
0.5500000000000002,2.9000000000000004,100,0.0,10.34,11.587251615460847,9.0,0.10340000000000002,0.11587251615460846,0.09,3.4487883230080087
0.5500000000000002,3.2,100,0.0,10.67,8.262027596177587,10.5,0.1067,0.08262027596177586,0.10500000000000001,0.5561316988629413
0.5500000000000002,3.5,100,0.0,8.67,8.089567355551223,8.5,0.0867,0.08089567355551222,0.08499999999999999,0.7014346612947159
0.5500000000000002,3.8000000000000007,100,0.0,8.4,9.475230867899736,6.5,0.08400000000000002,0.09475230867899737,0.065,1.3089197453070964
0.5500000000000002,4.1000000000000005,100,0.0,8.9,8.04673846971554,8.0,0.08900000000000001,0.08046738469715539,0.08,0.7521040454789999
0.6000000000000002,0.8,100,0.0,83.5,8.181075723888638,86.5,0.8350000000000002,0.08181075723888638,0.865,-1.8127348434949127
0.6000000000000002,1.1,100,0.0,76.54,15.636764371186258,82.5,0.7654,0.15636764371186263,0.825,-1.450540558307105
0.6000000000000002,1.4000000000000001,100,0.0,67.98,24.91384354129246,81.0,0.6798000000000001,0.2491384354129246,0.81,-0.9067218366532638
0.6000000000000002,1.7000000000000002,100,0.0,60.15,30.472077382416842,76.5,0.6015,0.3047207738241684,0.765,-0.43151081279611003
0.6000000000000002,2.0,100,0.0,39.36,29.939111543263937,26.0,0.3936,0.29939111543263935,0.26,0.6770427480083567
0.6000000000000002,2.3000000000000003,100,0.0,39.33,32.74875722832853,22.0,0.3933,0.3274875722832853,0.22,0.5520746013709316
0.6000000000000002,2.6000000000000005,100,0.0,26.72,28.510727805512083,15.0,0.26720000000000005,0.28510727805512087,0.15,1.3556285559856993
0.6000000000000002,2.9000000000000004,100,0.0,24.64,28.888932136719767,14.0,0.2464,0.28888932136719764,0.14,1.4513896229275693
0.6000000000000002,3.2,100,0.0,19.6,23.126175645791502,12.0,0.196,0.231261756457915,0.12,2.1321232530726
0.6000000000000002,3.5,100,0.0,14.32,15.235406131770823,12.0,0.14320000000000002,0.15235406131770826,0.12,3.0743739898559963
0.6000000000000002,3.8000000000000007,100,0.0,14.95,17.577471376736757,11.0,0.14950000000000002,0.17577471376736756,0.11,3.029765611215915
0.6000000000000002,4.1000000000000005,100,0.0,15.16,18.898529043287997,10.5,0.1516,0.18898529043287998,0.10500000000000001,2.837865715637111
0.6500000000000002,0.8,100,0.0,87.63,4.374139915457667,89.0,0.8763000000000001,0.04374139915457667,0.89,-2.467194324939804
0.6500000000000002,1.1,100,0.0,85.56,5.543139904422402,87.5,0.8556,0.05543139904422402,0.875,-1.7254268530237828
0.6500000000000002,1.4000000000000001,100,0.0,82.83,12.080608428386379,87.0,0.8283000000000001,0.12080608428386379,0.87,-3.020160024421598
0.6500000000000002,1.7000000000000002,100,0.0,78.73,15.461471469430068,85.0,0.7873,0.15461471469430066,0.85,-2.0220457672879
0.6500000000000002,2.0,100,0.0,72.37,23.66501848721019,83.0,0.7237,0.2366501848721019,0.83,-1.5072455665406528
0.6500000000000002,2.3000000000000003,100,0.0,70.87,25.397108103089217,85.0,0.7087000000000002,0.25397108103089217,0.85,-1.2996511324021387
0.6500000000000002,2.6000000000000005,100,0.0,58.51,30.53964472615882,76.5,0.5851000000000001,0.30539644726158816,0.765,-0.41689912426029363
0.6500000000000002,2.9000000000000004,100,0.0,46.28,32.45861364876818,31.5,0.46279999999999993,0.32458613648768186,0.315,0.19425906872178506
0.6500000000000002,3.2,100,0.0,42.2,32.80853547478156,27.0,0.42199999999999993,0.3280853547478156,0.27,0.324021439618736
0.6500000000000002,3.5,100,0.0,36.83,31.48080526288996,20.0,0.36830000000000007,0.31480805262889955,0.2,0.6743844263231056
0.6500000000000002,3.8000000000000007,100,0.0,33.06,30.945700832264244,18.0,0.33059999999999995,0.3094570083226425,0.18,0.8367238580032916
0.6500000000000002,4.1000000000000005,100,0.0,21.81,24.070186953989367,14.0,0.2181,0.2407018695398937,0.14,1.825512738753953

================================================================================
Vacuum Search Analysis: Region of Physical Viability (RPV)
Target: 0.01 < Mean_Rho3 < 0.1
================================================================================
    Mu Lambda   Mean_Rho3       Status
--------------------------------------------------------------------------------
  0.15   0.80      0.0004     (Frozen)
  0.15   1.10      0.0000     (Frozen)
  0.15   1.40      0.0000     (Frozen)
  0.15   1.70      0.0000     (Frozen)
  0.15   2.00      0.0000     (Frozen)
  0.15   2.30      0.0000     (Frozen)
  0.15   2.60      0.0000     (Frozen)
  0.15   2.90      0.0000     (Frozen)
  0.15   3.20      0.0000     (Frozen)
  0.15   3.50      0.0000     (Frozen)
  0.15   3.80      0.0000     (Frozen)
  0.15   4.10      0.0000     (Frozen)
  0.20   0.80      0.0010     (Frozen)
  0.20   1.10      0.0000     (Frozen)
  0.20   1.40      0.0027     (Frozen)
  0.20   1.70      0.0000     (Frozen)
  0.20   2.00      0.0000     (Frozen)
  0.20   2.30      0.0000     (Frozen)
  0.20   2.60      0.0000     (Frozen)
  0.20   2.90      0.0000     (Frozen)
  0.20   3.20      0.0000     (Frozen)
  0.20   3.50      0.0000     (Frozen)
  0.20   3.80      0.0000     (Frozen)
  0.20   4.10      0.0000     (Frozen)
  0.25   0.80      0.0090     (Frozen)
  0.25   1.10      0.0033     (Frozen)
  0.25   1.40      0.0000     (Frozen)
  0.25   1.70      0.0010     (Frozen)
  0.25   2.00      0.0009     (Frozen)
  0.25   2.30      0.0025     (Frozen)
  0.25   2.60      0.0031     (Frozen)
  0.25   2.90      0.0000     (Frozen)
  0.25   3.20      0.0000     (Frozen)
  0.25   3.50      0.0000     (Frozen)
  0.25   3.80      0.0000     (Frozen)
  0.25   4.10      0.0000     (Frozen)
  0.30   0.80      0.0157   <-- VIABLE
  0.30   1.10      0.0054     (Frozen)
  0.30   1.40      0.0072     (Frozen)
  0.30   1.70      0.0018     (Frozen)
  0.30   2.00      0.0037     (Frozen)
  0.30   2.30      0.0000     (Frozen)
  0.30   2.60      0.0014     (Frozen)
  0.30   2.90      0.0013     (Frozen)
  0.30   3.20      0.0029     (Frozen)
  0.30   3.50      0.0007     (Frozen)
  0.30   3.80      0.0023     (Frozen)
  0.30   4.10      0.0000     (Frozen)
  0.35   0.80      0.0449   <-- VIABLE
  0.35   1.10      0.0198   <-- VIABLE
  0.35   1.40      0.0147   <-- VIABLE
  0.35   1.70      0.0101   <-- VIABLE
  0.35   2.00      0.0102   <-- VIABLE
  0.35   2.30      0.0068     (Frozen)
  0.35   2.60      0.0090     (Frozen)
  0.35   2.90      0.0120   <-- VIABLE
  0.35   3.20      0.0099     (Frozen)
  0.35   3.50      0.0053     (Frozen)
  0.35   3.80      0.0037     (Frozen)
  0.35   4.10      0.0050     (Frozen)
  0.40   0.80      0.0982   <-- VIABLE
  0.40   1.10      0.0504   <-- VIABLE
  0.40   1.40      0.0389   <-- VIABLE
  0.40   1.70      0.0290   <-- VIABLE
  0.40   2.00      0.0233   <-- VIABLE
  0.40   2.30      0.0273   <-- VIABLE
